,text,cleaned,casefolding,stopword,normalisasi,stemming,tokenisasi
695,"Prabowo: Jangan Jadi Malin Kundang, Jangan Kebaikan Kita Balas dengan Pengkhianatan https://t.co/slQHYaFchf #Pemilu","Prabowo: Jangan Jadi Malin Kundang, Jangan Kebaikan Kita Balas dengan Pengkhianatan","prabowo: jangan jadi malin kundang, jangan kebaikan kita balas dengan pengkhianatan","prabowo: jangan jadi malin kundang, jangan kebaikan balas pengkhianatan","prabowo : jangan jadi malin kundang , jangan kebaikan balas pengkhianatan",prabowo jangan jadi malin kundang jangan baik balas khianat,"['prabowo', 'jangan', 'jadi', 'malin', 'kundang', 'jangan', 'baik', 'balas', 'khianat']"
696,"Sekjen PDIP Hasto Krisriyanto menegaskan status Gibran Rakabuming Raka yang kini cawapres Prabowo Subianto, sudah berakhir dengan PDIP. https://t.co/ZIwTaQUF2E","Sekjen PDIP Hasto Krisriyanto menegaskan status Gibran Rakabuming Raka yang kini cawapres Prabowo Subianto, sudah berakhir dengan PDIP.","sekjen pdip hasto krisriyanto menegaskan status gibran rakabuming raka yang kini cawapres prabowo subianto, sudah berakhir dengan pdip.","sekjen pdip hasto krisriyanto menegaskan status gibran rakabuming raka kini cawapres prabowo subianto, berakhir pdip.","sekretaris jenderal partai demokrasi indonesia perjuangan hasto krisriyanto menegaskan status gibran rakabuming raka kini calon wakil presiden prabowo subianto , berakhir partai demokrasi indonesia perjuangan .",sekretaris jenderal partai demokrasi indonesia juang hasto krisriyanto tegas status gibran rakabuming raka kini calon wakil presiden prabowo subianto akhir partai demokrasi indonesia juang,"['sekretaris', 'jenderal', 'partai', 'demokrasi', 'indonesia', 'juang', 'hasto', 'krisriyanto', 'tegas', 'status', 'gibran', 'rakabuming', 'raka', 'kini', 'calon', 'wakil', 'presiden', 'prabowo', 'subianto', 'akhir', 'partai', 'demokrasi', 'indonesia', 'juang']"
697,"Hmmm..  Galak bener med, labeling Pak Anies pakai gambar Hitler, padahal dulu lo bilang Prabowo yg pemuja Hitler @partaisocmed   #amin #AniesPresiden2024 #AniesMuhaimin2024 https://t.co/FlNzfR2FRg","Hmmm.. Galak bener med, labeling Pak Anies pakai gambar Hitler, padahal dulu lo bilang Prabowo yg pemuja Hitler","hmmm.. galak bener med, labeling pak anies pakai gambar hitler, padahal dulu lo bilang prabowo yg pemuja hitler","hmmm.. galak bener med, labeling pak anies pakai gambar hitler, padahal dulu lo bilang prabowo yg pemuja hitler","hmmm .. galak benar med , labeling pak anies pakai gambar hitler , padahal dulu kamu bilang prabowo yang pemuja hitler",hmmm galak benar med labeling pak anies pakai gambar hitler padahal dulu kamu bilang prabowo yang puja hitler,"['hmmm', 'galak', 'benar', 'med', 'labeling', 'pak', 'anies', 'pakai', 'gambar', 'hitler', 'padahal', 'dulu', 'kamu', 'bilang', 'prabowo', 'yang', 'puja', 'hitler']"
698,"Ini pasangan pemimpin karbitan. (Prabowo) jenderal karbitan ORBA, (Gibran) cawapres karbitan ORBONG.  Tampuk kepemimpinan nasional diserahkan kepada pasangan karbitan.  Tidak mengedepankan kepentingan rakyat."" (Andrinof Chaniago)  #DugaanKorupsiKemenhan  #DugaanKorupsiKemenhan https://t.co/kdYXfnurMK""","Ini pasangan pemimpin karbitan. (Prabowo) jenderal karbitan ORBA, (Gibran) cawapres karbitan ORBONG. Tampuk kepemimpinan nasional diserahkan kepada pasangan karbitan. Tidak mengedepankan kepentingan rakyat."" (Andrinof Chaniago) ""","ini pasangan pemimpin karbitan. (prabowo) jenderal karbitan orba, (gibran) cawapres karbitan orbong. tampuk kepemimpinan nasional diserahkan kepada pasangan karbitan. tidak mengedepankan kepentingan rakyat."" (andrinof chaniago) ""","pasangan pemimpin karbitan. (prabowo) jenderal karbitan orba, (gibran) cawapres karbitan orbong. tampuk kepemimpinan nasional diserahkan pasangan karbitan. mengedepankan kepentingan rakyat."" (andrinof chaniago) ""","pasangan pemimpin karbitan . ( prabowo ) jenderal karbitan orde baru , ( gibran ) calon wakil presiden karbitan orbong . tampuk kepemimpinan nasional diserahkan pasangan karbitan . mengedepankan kepentingan rakyat . "" ( andrinof chaniago ) """,pasang pimpin karbitan prabowo jenderal karbitan orde baru gibran calon wakil presiden karbitan orbong tampuk pimpin nasional serah pasang karbitan depan penting rakyat andrinof chaniago,"['pasang', 'pimpin', 'karbitan', 'prabowo', 'jenderal', 'karbitan', 'orde', 'baru', 'gibran', 'calon', 'wakil', 'presiden', 'karbitan', 'orbong', 'tampuk', 'pimpin', 'nasional', 'serah', 'pasang', 'karbitan', 'depan', 'penting', 'rakyat', 'andrinof', 'chaniago']"
699,"Mencuat lagi brita saat Pak Anies terpilih mjd Gub DKI Jakarta, ada dua Disclaimer disini yang intinya BAHWA PAK ANIES MENJADI GOODBENER ITU BUKAN ATAS JASA PRABOWO semata..!!!  Simak dua video ini agar kita paham, Ngerti dan jelas..hanya fakta NO HOAXS..  #2024AniesPresiden ☝️ https://t.co/spW43gvKcs","Mencuat lagi brita saat Pak Anies terpilih mjd Gub DKI Jakarta, ada dua Disclaimer disini yang intinya BAHWA PAK ANIES MENJADI GOODBENER ITU BUKAN ATAS JASA PRABOWO semata..!!! Simak dua video ini agar kita paham, Ngerti dan jelas..hanya fakta NO HOAXS..","mencuat lagi brita saat pak anies terpilih mjd gub dki jakarta, ada dua disclaimer disini yang intinya bahwa pak anies menjadi goodbener itu bukan atas jasa prabowo semata..!!! simak dua video ini agar kita paham, ngerti dan jelas..hanya fakta no hoaxs..","mencuat brita pak anies terpilih mjd gub dki jakarta, disclaimer disini intinya pak anies menjadi goodbener bukan atas jasa prabowo semata..!!! simak dua video agar paham, ngerti jelas..hanya fakta no hoaxs..","mencuat berita pak anies terpilih menjadi gubernur daerah khusus ibukota jakarta , penafian di sini intinya pak anies menjadi good benar bukan atas jasa prabowo semata .. ! ! ! simak dua video agar paham , mengerti jelas .. hanya fakta nomor hoaks ..",cuat berita pak anies pilih jadi gubernur daerah khusus ibukota jakarta nafi di sini inti pak anies jadi good benar bukan atas jasa prabowo semata simak dua video agar paham erti jelas hanya fakta nomor hoaks,"['cuat', 'berita', 'pak', 'anies', 'pilih', 'jadi', 'gubernur', 'daerah', 'khusus', 'ibukota', 'jakarta', 'nafi', 'di', 'sini', 'inti', 'pak', 'anies', 'jadi', 'good', 'benar', 'bukan', 'atas', 'jasa', 'prabowo', 'semata', 'simak', 'dua', 'video', 'agar', 'paham', 'erti', 'jelas', 'hanya', 'fakta', 'nomor', 'hoaks']"
700,"Momen Prabowo joget gemoy usai makan siang bareng sejumlah kelompok Pekerja, Nelayan, dan Bentor di Medan. https://t.co/H2cL0Bx1Kc","Momen Prabowo joget gemoy usai makan siang bareng sejumlah kelompok Pekerja, Nelayan, dan Bentor di Medan.","momen prabowo joget gemoy usai makan siang bareng sejumlah kelompok pekerja, nelayan, dan bentor di medan.","momen prabowo joget gemoy usai makan siang bareng sejumlah kelompok pekerja, nelayan, bentor medan.","momen prabowo joget gemoy usai makan siang bareng sejumlah kelompok pekerja , nelayan , bentor medan .",momen prabowo joget gemoy usai makan siang bareng jumlah kelompok kerja nelayan bentor medan,"['momen', 'prabowo', 'joget', 'gemoy', 'usai', 'makan', 'siang', 'bareng', 'jumlah', 'kelompok', 'kerja', 'nelayan', 'bentor', 'medan']"
701,"Disambut Meriah di Medan, Prabowo Subianto: Hari Ini Saya Dapat Nilai 99 dari 100 https://t.co/IfKn2fNTrS","Disambut Meriah di Medan, Prabowo Subianto: Hari Ini Saya Dapat Nilai dari","disambut meriah di medan, prabowo subianto: hari ini saya dapat nilai dari","disambut meriah medan, prabowo subianto: hari saya nilai","disambut meriah medan , prabowo subianto : hari saya nilai",sambut riah medan prabowo subianto hari saya nilai,"['sambut', 'riah', 'medan', 'prabowo', 'subianto', 'hari', 'saya', 'nilai']"
702,@kumparan prabowo sblm tidur: https://t.co/r4vRC2gTCK,prabowo sblm tidur:,prabowo sblm tidur:,prabowo sblm tidur:,prabowo sebelum tidur :,prabowo belum tidur,"['prabowo', 'belum', 'tidur']"
703,"Orasi politik Ganjar saat menghadiri konsolidasi pemenangan di Nganjuk, Jawa Timur.  Ada tiga hal yg disampaikan pak Ganjar pada relawan salah satunya temui rakyat dan dengarkan rakyat.  Bedakan dgn Prabowo, dihadapan pendukungnya malah caci maki dan nyindir Paslon lain.🤦… https://t.co/I6w0fmIOL1","Orasi politik Ganjar saat menghadiri konsolidasi pemenangan di Nganjuk, Jawa Timur. Ada tiga hal yg disampaikan pak Ganjar pada relawan salah satunya temui rakyat dan dengarkan rakyat. Bedakan dgn Prabowo, dihadapan pendukungnya malah caci maki dan nyindir Paslon lain.","orasi politik ganjar saat menghadiri konsolidasi pemenangan di nganjuk, jawa timur. ada tiga hal yg disampaikan pak ganjar pada relawan salah satunya temui rakyat dan dengarkan rakyat. bedakan dgn prabowo, dihadapan pendukungnya malah caci maki dan nyindir paslon lain.","orasi politik ganjar menghadiri konsolidasi pemenangan nganjuk, jawa timur. tiga yg disampaikan pak ganjar relawan salah satunya temui rakyat dengarkan rakyat. bedakan dgn prabowo, dihadapan pendukungnya malah caci maki nyindir paslon lain.","orasi politik ganjar menghadiri konsolidasi pemenangan nganjuk , jawa timur . tiga yang disampaikan pak ganjar relawan salah satunya temui rakyat dengarkan rakyat . bedakan dengan prabowo , dihadapan pendukungnya bahkan caci maki menyindir pasangan calon lain .",orasi politik ganjar hadir konsolidasi menang nganjuk jawa timur tiga yang sampai pak ganjar rawan salah satu temu rakyat dengar rakyat beda dengan prabowo hadap dukung bahkan caci maki sindir pasang calon lain,"['orasi', 'politik', 'ganjar', 'hadir', 'konsolidasi', 'menang', 'nganjuk', 'jawa', 'timur', 'tiga', 'yang', 'sampai', 'pak', 'ganjar', 'rawan', 'salah', 'satu', 'temu', 'rakyat', 'dengar', 'rakyat', 'beda', 'dengan', 'prabowo', 'hadap', 'dukung', 'bahkan', 'caci', 'maki', 'sindir', 'pasang', 'calon', 'lain']"
704,"Capres @prabowo memberi kode, Gerindra akan mengusung Bobby Nasuiton jadi cagub Sumut 2024.  https://t.co/ismxjItVc0","Capres memberi kode, Gerindra akan mengusung Bobby Nasuiton jadi cagub Sumut .","capres memberi kode, gerindra akan mengusung bobby nasuiton jadi cagub sumut .","capres memberi kode, gerindra mengusung bobby nasuiton jadi cagub sumut .","calon presiden memberi kode , gerindra mengusung bobby nasuiton jadi calon gubernur sumatra utara .",calon presiden beri kode gerindra usung bobby nasuiton jadi calon gubernur sumatra utara,"['calon', 'presiden', 'beri', 'kode', 'gerindra', 'usung', 'bobby', 'nasuiton', 'jadi', 'calon', 'gubernur', 'sumatra', 'utara']"
705,Kasus Penembakan Relawan Prabowo Di Sampang Tertangkap... Otak Penembakan Oknum Lurah Dan Oknum Kader @PDI_Perjuangan  Ingat Hanya Oknum Ya ☺️ Yg Ancam Anies Baswedan Oknum Siapa Ya Kira² Nyamar Atau Gimana? https://t.co/4IrH24hixk,Kasus Penembakan Relawan Prabowo Di Sampang Tertangkap... Otak Penembakan Oknum Lurah Dan Oknum Kader Ingat Hanya Oknum Ya Yg Ancam Anies Baswedan Oknum Siapa Ya Kira Nyamar Atau Gimana?,kasus penembakan relawan prabowo di sampang tertangkap... otak penembakan oknum lurah dan oknum kader ingat hanya oknum ya yg ancam anies baswedan oknum siapa ya kira nyamar atau gimana?,kasus penembakan relawan prabowo sampang tertangkap... otak penembakan oknum lurah oknum kader ingat oknum yg ancam anies baswedan oknum siapa kira nyamar gimana?,kasus penembakan relawan prabowo sampang tertangkap ... otak penembakan oknum lurah oknum kader ingat oknum yang ancam anies baswedan oknum siapa kira menyamar bagaimana ?,kasus tembak rawan prabowo sampang tangkap otak tembak oknum lurah oknum kader ingat oknum yang ancam anies baswedan oknum siapa kira samar bagaimana,"['kasus', 'tembak', 'rawan', 'prabowo', 'sampang', 'tangkap', 'otak', 'tembak', 'oknum', 'lurah', 'oknum', 'kader', 'ingat', 'oknum', 'yang', 'ancam', 'anies', 'baswedan', 'oknum', 'siapa', 'kira', 'samar', 'bagaimana']"
706,KALAH SEBELUM BERPERANG..  Jadi sebenarnya yang khawatir itu siapa? Prabowo atau Ganjar Anies? 😊 #PrabowoGibran2024  @prabowo @gibran_tweet @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd https://t.co/9qcOUTxm9q,KALAH SEBELUM BERPERANG.. Jadi sebenarnya yang khawatir itu siapa? Prabowo atau Ganjar Anies?,kalah sebelum berperang.. jadi sebenarnya yang khawatir itu siapa? prabowo atau ganjar anies?,kalah berperang.. jadi sebenarnya khawatir siapa? prabowo ganjar anies?,kalah berperang .. jadi sebenarnya khawatir siapa ? prabowo ganjar anies ?,kalah perang jadi benar khawatir siapa prabowo ganjar anies,"['kalah', 'perang', 'jadi', 'benar', 'khawatir', 'siapa', 'prabowo', 'ganjar', 'anies']"
707,@kafiradikalis Sanggup nontonin Prabowo di diskusi kadin? Gua nonton klipnya aja ngantuk,Sanggup nontonin Prabowo di diskusi kadin? Gua nonton klipnya aja ngantuk,sanggup nontonin prabowo di diskusi kadin? gua nonton klipnya aja ngantuk,sanggup nontonin prabowo diskusi kadin? gua nonton klipnya aja ngantuk,sanggup nontonin prabowo diskusi kamar dagang dan industri ? saya tonton klipnya saja mengantuk,sanggup nontonin prabowo diskusi kamar dagang dan industri saya tonton klip saja antuk,"['sanggup', 'nontonin', 'prabowo', 'diskusi', 'kamar', 'dagang', 'dan', 'industri', 'saya', 'tonton', 'klip', 'saja', 'antuk']"
708,"@zarryhendrik 3 parameter yg kamu sampaikan itu sama sekali gak muncul dari diskusi Prabowo dengan Kadin.  - relevan? Tidak. Beberapa pertanyaan dijawab hanya dengan hilirisasi, yg tidak relevan dengan konteks diskusi. -strategic? Tidak. Prabowo tidak menjelaskan hilirisasi akan dilakukan…","parameter yg kamu sampaikan itu sama sekali gak muncul dari diskusi Prabowo dengan Kadin. - relevan? Tidak. Beberapa pertanyaan dijawab hanya dengan hilirisasi, yg tidak relevan dengan konteks diskusi. -strategic? Tidak. Prabowo tidak menjelaskan hilirisasi akan dilakukan","parameter yg kamu sampaikan itu sama sekali gak muncul dari diskusi prabowo dengan kadin. - relevan? tidak. beberapa pertanyaan dijawab hanya dengan hilirisasi, yg tidak relevan dengan konteks diskusi. -strategic? tidak. prabowo tidak menjelaskan hilirisasi akan dilakukan","parameter yg kamu sampaikan sama sekali gak muncul diskusi prabowo kadin. - relevan? tidak. beberapa pertanyaan dijawab hilirisasi, yg relevan dengan konteks diskusi. -strategic? tidak. prabowo menjelaskan hilirisasi dilakukan","parameter yang kamu sampaikan sama sekali tidak muncul diskusi prabowo kamar dagang dan industri . - relevan ? tidak . beberapa pertanyaan dijawab hilirisasi , yang relevan dengan konteks diskusi . - strategis ? tidak . prabowo menjelaskan hilirisasi dilakukan",parameter yang kamu sampai sama sekali tidak muncul diskusi prabowo kamar dagang dan industri - relevan tidak beberapa tanya jawab hilir yang relevan dengan konteks diskusi - strategis tidak prabowo jelas hilir laku,"['parameter', 'yang', 'kamu', 'sampai', 'sama', 'sekali', 'tidak', 'muncul', 'diskusi', 'prabowo', 'kamar', 'dagang', 'dan', 'industri', '-', 'relevan', 'tidak', 'beberapa', 'tanya', 'jawab', 'hilir', 'yang', 'relevan', 'dengan', 'konteks', 'diskusi', '-', 'strategis', 'tidak', 'prabowo', 'jelas', 'hilir', 'laku']"
709,"...Gw baru beres nonton lengkap 3 capres di forum Kadin.  Prabowo gak kuasai masalah. Retorika payah. Substansi goyah. Emosian malah (moderator bbrp kali disela).  Dikasih waktu lebih banyak dibanding 2 capres lain'y tp hampir gak jelasin apa2.  GWS u/ para pemuja'y. (``,)","...Gw baru beres nonton lengkap capres di forum Kadin. Prabowo gak kuasai masalah. Retorika payah. Substansi goyah. Emosian malah (moderator bbrp kali disela). Dikasih waktu lebih banyak dibanding capres lain'y tp hampir gak jelasin apa. GWS u/ para pemuja'y. (``,)","...gw baru beres nonton lengkap capres di forum kadin. prabowo gak kuasai masalah. retorika payah. substansi goyah. emosian malah (moderator bbrp kali disela). dikasih waktu lebih banyak dibanding capres lain'y tp hampir gak jelasin apa. gws u/ para pemuja'y. (``,)","...gw baru beres nonton lengkap capres forum kadin. prabowo gak kuasai masalah. retorika payah. substansi goyah. emosian malah (moderator bbrp kali disela). dikasih waktu lebih banyak dibanding capres lain'y tp hampir gak jelasin apa. gws u/ pemuja'y. (``,)","... saya baru beres tonton lengkap calon presiden forum kamar dagang dan industri . prabowo tidak kuasai masalah . retorika payah . substansi goyah . emosian bahkan ( moderator beberapa kali disela ) . dikasih waktu lebih banyak dibanding calon presiden lain'y tapi hampir tidak jelaskan apa . cepat sembuh kamu / pemuja'y . ( ` ` , )",saya baru beres tonton lengkap calon presiden forum kamar dagang dan industri prabowo tidak kuasa masalah retorika payah substansi goyah emosi bahkan moderator beberapa kali sela kasih waktu lebih banyak banding calon presiden lain y tapi hampir tidak jelas apa cepat sembuh kamu puja y,"['saya', 'baru', 'beres', 'tonton', 'lengkap', 'calon', 'presiden', 'forum', 'kamar', 'dagang', 'dan', 'industri', 'prabowo', 'tidak', 'kuasa', 'masalah', 'retorika', 'payah', 'substansi', 'goyah', 'emosi', 'bahkan', 'moderator', 'beberapa', 'kali', 'sela', 'kasih', 'waktu', 'lebih', 'banyak', 'banding', 'calon', 'presiden', 'lain', 'y', 'tapi', 'hampir', 'tidak', 'jelas', 'apa', 'cepat', 'sembuh', 'kamu', 'puja', 'y']"
710,@kompascom Aku yakin sih dia dalam hatinya menyesal mendukung Prabowo Gibran 😂  https://t.co/kjRKm0ayJ2,Aku yakin sih dia dalam hatinya menyesal mendukung Prabowo Gibran,aku yakin sih dia dalam hatinya menyesal mendukung prabowo gibran,aku yakin sih dalam hatinya menyesal mendukung prabowo gibran,saya yakin sih dalam hatinya menyesal mendukung prabowo gibran,saya yakin sih dalam hati sesal dukung prabowo gibran,"['saya', 'yakin', 'sih', 'dalam', 'hati', 'sesal', 'dukung', 'prabowo', 'gibran']"
711,"Usai Debat Ketiga, TKN Yakin Pendukung AMIN Migrasi ke Prabowo-Gibran https://t.co/IPEIpdMMVV","Usai Debat Ketiga, TKN Yakin Pendukung AMIN Migrasi ke Prabowo-Gibran","usai debat ketiga, tkn yakin pendukung amin migrasi ke prabowo-gibran","usai debat ketiga, tkn yakin pendukung amin migrasi prabowo-gibran","usai debat ketiga , tkn yakin pendukung amin migrasi prabowo-gibran",usai debat tiga tkn yakin dukung amin migrasi prabowo-gibran,"['usai', 'debat', 'tiga', 'tkn', 'yakin', 'dukung', 'amin', 'migrasi', 'prabowo-gibran']"
712,"@kumparan Pernah jadi alumni Prabowo sejak 2014 &amp  2019, makin hilang respect, empati &amp  simpati ke Beliau. Masalah #DebatCapres dibawa keluar keliling ke Masyarakat untuk dipakai bahan kampanye yg berpotensi menghasut antar masyarakat. Katanya mau merangkul semua dgn riang gembira?","Pernah jadi alumni Prabowo sejak &amp , makin hilang respect, empati &amp simpati ke Beliau. Masalah dibawa keluar keliling ke Masyarakat untuk dipakai bahan kampanye yg berpotensi menghasut antar masyarakat. Katanya mau merangkul semua dgn riang gembira?","pernah jadi alumni prabowo sejak &amp , makin hilang respect, empati &amp simpati ke beliau. masalah dibawa keluar keliling ke masyarakat untuk dipakai bahan kampanye yg berpotensi menghasut antar masyarakat. katanya mau merangkul semua dgn riang gembira?","pernah jadi alumni prabowo sejak &amp , makin hilang respect, empati &amp simpati beliau. masalah dibawa keluar keliling masyarakat dipakai bahan kampanye yg berpotensi menghasut antar masyarakat. katanya mau merangkul semua dgn riang gembira?","pernah jadi alumni prabowo sejak & amp , makin hilang respect , empati & amp simpati beliau . masalah dibawa keluar keliling masyarakat dipakai bahan kampanye yang berpotensi menghasut antar masyarakat . katanya mau merangkul semua dengan riang gembira ?",pernah jadi alumni prabowo sejak amp makin hilang respect empati amp simpati beliau masalah bawa keluar keliling masyarakat pakai bahan kampanye yang potensi hasut antar masyarakat kata mau rangkul semua dengan riang gembira,"['pernah', 'jadi', 'alumni', 'prabowo', 'sejak', 'amp', 'makin', 'hilang', 'respect', 'empati', 'amp', 'simpati', 'beliau', 'masalah', 'bawa', 'keluar', 'keliling', 'masyarakat', 'pakai', 'bahan', 'kampanye', 'yang', 'potensi', 'hasut', 'antar', 'masyarakat', 'kata', 'mau', 'rangkul', 'semua', 'dengan', 'riang', 'gembira']"
713,TKN Bantah Prabowo Subianto Emosi saat Ucapkan Pintar atau Goblok: Beliau Suka Bercanda https://t.co/x2LvBh0p5P #TempoNasional,TKN Bantah Prabowo Subianto Emosi saat Ucapkan Pintar atau Goblok: Beliau Suka Bercanda,tkn bantah prabowo subianto emosi saat ucapkan pintar atau goblok: beliau suka bercanda,tkn bantah prabowo subianto emosi ucapkan pintar goblok: beliau suka bercanda,tkn bantah prabowo subianto emosi ucapkan pintar bodoh : beliau suka bercanda,tkn bantah prabowo subianto emosi ucap pintar bodoh beliau suka canda,"['tkn', 'bantah', 'prabowo', 'subianto', 'emosi', 'ucap', 'pintar', 'bodoh', 'beliau', 'suka', 'canda']"
714,"Ayah nya mengakui Prabowo itu arogan,  Ayahnya juga mengakui Prabowo terlibat penculikan, Lah elu orang luar membela Prabowo sampai segitunya, dan kau bilang pelanggaran HAM itu isu 5 tahunan.  Isu 5 tahunan ndas'mu 😂😝 #AsalBukanPrabowo https://t.co/ubyk5VKGJU","Ayah nya mengakui Prabowo itu arogan, Ayahnya juga mengakui Prabowo terlibat penculikan, Lah elu orang luar membela Prabowo sampai segitunya, dan kau bilang pelanggaran HAM itu isu tahunan. Isu tahunan ndas'mu","ayah nya mengakui prabowo itu arogan, ayahnya juga mengakui prabowo terlibat penculikan, lah elu orang luar membela prabowo sampai segitunya, dan kau bilang pelanggaran ham itu isu tahunan. isu tahunan ndas'mu","ayah nya mengakui prabowo arogan, ayahnya mengakui prabowo terlibat penculikan, lah elu orang luar membela prabowo segitunya, kau bilang pelanggaran ham isu tahunan. isu tahunan ndas'mu","ayah nya mengakui prabowo arogan , ayahnya mengakui prabowo terlibat penculikan , lah kamu orang luar membela prabowo sebegitunya , kamu bilang pelanggaran ham isu tahunan . isu tahunan ndas'mu",ayah nya aku prabowo arogan ayah aku prabowo libat culi lah kamu orang luar bela prabowo begitu kamu bilang langgar ham isu tahun isu tahun ndas mu,"['ayah', 'nya', 'aku', 'prabowo', 'arogan', 'ayah', 'aku', 'prabowo', 'libat', 'culi', 'lah', 'kamu', 'orang', 'luar', 'bela', 'prabowo', 'begitu', 'kamu', 'bilang', 'langgar', 'ham', 'isu', 'tahun', 'isu', 'tahun', 'ndas', 'mu']"
715,@sketsagram Krn yg rame pak prabowo gak jelas ngomong apa vs pak anies yg tertata 😂,Krn yg rame pak prabowo gak jelas ngomong apa vs pak anies yg tertata,krn yg rame pak prabowo gak jelas ngomong apa vs pak anies yg tertata,krn yg rame pak prabowo gak jelas ngomong apa vs pak anies yg tertata,karena yang ramai pak prabowo tidak jelas bicara apa lawan pak anies yang tertata,karena yang ramai pak prabowo tidak jelas bicara apa lawan pak anies yang tata,"['karena', 'yang', 'ramai', 'pak', 'prabowo', 'tidak', 'jelas', 'bicara', 'apa', 'lawan', 'pak', 'anies', 'yang', 'tata']"
716,@islah_bahrawi Prabowo mau digimanain juga emang susah untuk jadi Presiden di Indonesia. Facenya ga face pemimpin.,Prabowo mau digimanain juga emang susah untuk jadi Presiden di Indonesia. Facenya ga face pemimpin.,prabowo mau digimanain juga emang susah untuk jadi presiden di indonesia. facenya ga face pemimpin.,prabowo mau digimanain emang susah jadi presiden indonesia. facenya ga face pemimpin.,prabowo mau digimanain memang susah jadi presiden indonesia . facenya tidak face pemimpin .,prabowo mau digimanain memang susah jadi presiden indonesia facenya tidak face pimpin,"['prabowo', 'mau', 'digimanain', 'memang', 'susah', 'jadi', 'presiden', 'indonesia', 'facenya', 'tidak', 'face', 'pimpin']"
717,"Harusnya program food estate itu di buat di tanah2 negara yg di kuasai pak Prabowo aja, gak perlu buka lahan baru. https://t.co/KMkwSNqZhO","Harusnya program food estate itu di buat di tanah negara yg di kuasai pak Prabowo aja, gak perlu buka lahan baru.","harusnya program food estate itu di buat di tanah negara yg di kuasai pak prabowo aja, gak perlu buka lahan baru.","harusnya program food estate buat tanah negara yg di kuasai pak prabowo aja, gak perlu buka lahan baru.","harusnya program makanan estate buat tanah negara yang di kuasai pak prabowo saja , tidak perlu buka lahan baru .",harus program makan estate buat tanah negara yang di kuasa pak prabowo saja tidak perlu buka lahan baru,"['harus', 'program', 'makan', 'estate', 'buat', 'tanah', 'negara', 'yang', 'di', 'kuasa', 'pak', 'prabowo', 'saja', 'tidak', 'perlu', 'buka', 'lahan', 'baru']"
718,"Saya nonton semua Paslon ketika audiensi dgn Kadin. Selaku mantan gubernur, Ganjar dan Anies sangat rinci menjawab isu-isu praksis yg disodorkan. Prabowo? Maaf, saya harus jujur: dia ndak layak jadi presiden. Ratusan juta rakyat Indonesia ndak boleh jadi tumbal pemimpin dagelan.","Saya nonton semua Paslon ketika audiensi dgn Kadin. Selaku mantan gubernur, Ganjar dan Anies sangat rinci menjawab isu-isu praksis yg disodorkan. Prabowo? Maaf, saya harus jujur: dia ndak layak jadi presiden. Ratusan juta rakyat Indonesia ndak boleh jadi tumbal pemimpin dagelan.","saya nonton semua paslon ketika audiensi dgn kadin. selaku mantan gubernur, ganjar dan anies sangat rinci menjawab isu-isu praksis yg disodorkan. prabowo? maaf, saya harus jujur: dia ndak layak jadi presiden. ratusan juta rakyat indonesia ndak boleh jadi tumbal pemimpin dagelan.","nonton semua paslon audiensi dgn kadin. selaku mantan gubernur, ganjar anies sangat rinci menjawab isu-isu praksis yg disodorkan. prabowo? maaf, harus jujur: ndak layak jadi presiden. ratusan juta rakyat indonesia ndak jadi tumbal pemimpin dagelan.","tonton semua pasangan calon audiensi dengan kamar dagang dan industri . selaku mantan gubernur , ganjar anies sangat rinci menjawab isu-isu praksis yang disodorkan . prabowo ? maaf , harus jujur : tidak layak jadi presiden . ratusan juta rakyat indonesia tidak jadi tumbal pemimpin dagelan .",tonton semua pasang calon audiensi dengan kamar dagang dan industri selaku mantan gubernur ganjar anies sangat rinci jawab isu praksis yang sodor prabowo maaf harus jujur tidak layak jadi presiden ratus juta rakyat indonesia tidak jadi tumbal pimpin dagel,"['tonton', 'semua', 'pasang', 'calon', 'audiensi', 'dengan', 'kamar', 'dagang', 'dan', 'industri', 'selaku', 'mantan', 'gubernur', 'ganjar', 'anies', 'sangat', 'rinci', 'jawab', 'isu', 'praksis', 'yang', 'sodor', 'prabowo', 'maaf', 'harus', 'jujur', 'tidak', 'layak', 'jadi', 'presiden', 'ratus', 'juta', 'rakyat', 'indonesia', 'tidak', 'jadi', 'tumbal', 'pimpin', 'dagel']"
719,"Ini dua duanya kerjaan prabowo, dongo https://t.co/ZOki2ZNGhN","Ini dua duanya kerjaan prabowo, dongo","ini dua duanya kerjaan prabowo, dongo","dua duanya kerjaan prabowo, dongo","dua duanya pekerjaan prabowo , dongok",dua dua kerja prabowo dongok,"['dua', 'dua', 'kerja', 'prabowo', 'dongok']"
