created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 13 06:09:44 +0000 2024;1746051887466766505;"@NenkMonica Di dalam pidato diatas Prabowo menyebutkan itu tanah negara.  Ketika pak Anies Rasid Baswedan jadi presiden. tolong tanah itu di kembalikan ke negara,  agar bisa di pergunakan dan di manfaatkan oleh negara untuk Rakyat.";0;2;12;181;in;1065963987412480000;1746039768314699940;ridwanyangitu;https://twitter.com/ridwanyangitu/status/1746051887466766505
Sat Jan 13 06:07:34 +0000 2024;1746051341133459576;"Tum @PartaiSocmed, gk usah lah bawa-bawa Cak Nun untuk membela @prabowo. Udah, lakuin aja strategi medsos kalian, tapi gk usah bawa-bawa Cak Nun apalagi motong-motong videonya. Cupu!";4;32;181;526;in;31058944;1746051341133459576;FahmiAgustian;https://twitter.com/FahmiAgustian/status/1746051341133459576
Sat Jan 13 06:03:04 +0000 2024;1746050208176521321;"Grace ini ga ada keluarganya yang jadi korban 98 ya?!   Kawan-kawan gue yang keluarganya jadi korban ga ada yang sudi mendukung Prabowo..   Meskipun Prabowo itu ada keturunan Tionghoanya tetap aja kawan gue ga mau Indonesia kembali mengalami masa mencekam itu..";3;21;26;137;in;214159664;1746050208176521321;Paltiwest;https://twitter.com/Paltiwest/status/1746050208176521321
Sat Jan 13 05:59:00 +0000 2024;1746049186553045005;"Kinerja Prabowo Dinilai Buruk Oleh Anies, Gerindra “Kebakaran Jenggot” https://t.co/jnsybNuYdS";2;29;114;370;in;30201110;1746049186553045005;alisyarief;https://twitter.com/alisyarief/status/1746049186553045005
Sat Jan 13 05:58:00 +0000 2024;1746048932525036020;"@BilanganGanjil @M45Broo adab apasi adab, kalau dilihat adab coba liat prabowo sendiri yang ngatain goblok di kandang sendiri. ngeledek di debat dengan ngomong sorry ye dan omon-omon. beliau terlihat “dikeroyok” karena dia tidak bisa menguasai debat, bukan dikeroyok.";2;12;20;425;in;1161675791794503681;1745977860693938480;mwanzaxen;https://twitter.com/mwanzaxen/status/1746048932525036020
Sat Jan 13 05:56:58 +0000 2024;1746048672197152989;"Kamu di jakarta kok ngomongin kejadian di purwokerto,  Itu bkn krn penyusup, tapi mmang banyumas mayoritas pendukung Jokowi yg sekarang dukung prabowo, namanya ada hiburan di kampung sndiri masa gak di tonton? Gosah tantrum dum,😅 https://t.co/Zop8TS7bgg";2;40;43;147;in;815290931003826176;1746048672197152989;blantik_pedhet2;https://twitter.com/blantik_pedhet2/status/1746048672197152989
Sat Jan 13 05:55:18 +0000 2024;1746048255337824399;"Makin banyak yg nyerang Prabowo, dukungan malah makin banyak ya? Prabowo didukung oleh lintas generasi, Gen Z, Millenial, Gen X dan juga dari sesepuh. All In Prabowo wkwkwk https://t.co/eiPRbdmR64";4;31;62;209;in;43486890;1746048255337824399;negativisme;https://twitter.com/negativisme/status/1746048255337824399
Sat Jan 13 05:52:11 +0000 2024;1746047469488918591;"Dibilang Menhan ada gimmick Jodeg Gemoy nya.  Dibilang Paslon kampanye tp ada Ajudan Tentara Aktif.  Ya begini lah kalau peranan campur². Gak mau mundur sebagai menhan tp tetep kampanye jalan. Jadi kampanye di bayar dan di fasilitasi oleh rakyat gitu pak @Prabowo? https://t.co/HdUmLp6pBk";8;70;69;160;in;267795457;1746047469488918591;AdamVelcro;https://twitter.com/AdamVelcro/status/1746047469488918591
Sat Jan 13 05:50:09 +0000 2024;1746046958467436845;"@Chavesz08 @prabowo Iya keren banget..ni potongannya...  Salut👍👍  https://t.co/58B6zsts1K";9;19;31;150;in;1087725689053298688;1745812215670984906;Natural_michin;https://twitter.com/Natural_michin/status/1746046958467436845
Sat Jan 13 05:48:32 +0000 2024;1746046553075466747;"Sejak awal diglorifikasi tim 02, rekonsiliasi nasional. Persatuan.   Anies, Ganjar dan Prabowo itu kontestan Pilpres. Mereka bersaing. Tp persaingan politik gak harus bermusuhan.   Ketika Ganjar dan Anies saling menyapa. Yg kebakaran jenggot malah 02.  Persatuan, ndasmu!";9;156;172;814;in;1613800352645804033;1746046553075466747;ekokuntadhi1;https://twitter.com/ekokuntadhi1/status/1746046553075466747
